"Date","Refugee_numbers","refugees_original","IDPs","Eritrean"
"2020-11-04",196223,0,100000,96223
"2020-11-12",347137,14458,236456,96223
"2020-11-14",386875,20082,270570,96223
"2020-11-15",409160,25310,287627,96223
"2020-11-23",562141,41835,424083,96223
"2020-12-01",702890,46128,560539,96223
"2020-12-02",720231,46412,577596,96223
"2020-12-06",791039,48992,645824,96223
"2020-12-15",946155,50595,799337,96223
"2020-12-30",1206543,55128,1055192,96223
"2021-01-08",1361564,56625,1208716,96223
"2021-01-20",1364389,59450,1208716,96223
"2021-01-27",1365289,60350,1208716,96223
"2021-02-05",1365717,60778,1208716,96223
"2021-02-08",1365878,60939,1208716,96223
"2021-03-29",1368060,63121,1208716,96223
