name,population
Abia,2845380
Adamawa,3178950
Akwa Ibom,3902051
Anambra,4177828
Bauchi,4653066
Bayelsa,1704515
Benue,4253641
Borno,4171104
Cross River,2892988
Delta,4112445
Ebonyi,2176947
Edo,3233366
Ekiti,2398957
Enugu,3267837
Federal Capital Territory,1406239
Gombe,2365040
Imo,3927563
Jigawa,4361002
Kaduna,6113503
Kano,9401288
Katsina,5801584
Kebbi,3256541
Kogi,3314043
Kwara,2365353
Lagos,9113605
Nasarawa,1869377
Niger,3954772
Ogun,3751140
Ondo,3460877
Osun,3416959
Oyo,5580894
Plateau,3206531
Rivers,5198716
Sokoto,3702676
Taraba,2294800
Yobe,2321339
Zamfara,3278873
Nigeria,140431790
